00:08:27:04	00:08:28:19	老闆娘 我們吃飽了
00:08:28:19	00:08:30:21	你們快來吃喔
00:08:32:04	00:08:35:29	世杰 錦花 快來吃飯 乖
00:08:36:18	00:08:38:25	哥哥呢
00:08:38:25	00:08:40:10	小孩子不要問那麼多啦
00:08:40:10	00:08:42:05	快去吃飯 乖
00:09:22:19	00:09:25:26	阿祥 來吃飯喔
00:09:25:26	00:09:27:24	我不餓啦
00:09:27:24	00:09:29:26	你的肚子餓到咕嚕咕嚕叫
00:09:29:26	00:09:31:15	在樓梯口都聽到了
00:09:31:15	00:09:32:20	還在那邊裝
00:09:32:20	00:09:34:20	快來吃飯啦
00:09:39:13	00:09:41:24	還有花生喔
00:09:41:24	00:09:43:12	媽媽炒的味噌花生
00:09:43:12	00:09:46:19	是全世界最香 最好吃的
00:09:46:19	00:09:48:20	再幫我多倒一些啦
00:09:54:04	00:09:56:01	慢慢吃
00:10:04:19	00:10:06:05	很痛耶
00:10:07:12	00:10:09:07	不痛的話做什麼幫你擦藥
00:10:09:07	00:10:10:24	忍耐一點啦
00:10:10:24	00:10:12:03	拜託啦
00:10:12:03	00:10:13:17	知道啦
00:10:16:19	00:10:19:06	你一向是很懂事的孩子
00:10:19:06	00:10:21:14	為什麼這次會讓你爸爸
00:10:21:14	00:10:24:10	被校長叫去訓話啊
00:10:25:10	00:10:27:24	我也想要考及格啊
00:10:27:24	00:10:30:17	誰知道這邊聽進去
00:10:30:17	00:10:32:07	從這邊又跑出來了
00:10:34:23	00:10:38:08	如果說數學跟英文
00:10:38:08	00:10:40:19	可以像畫圖這麼好玩
00:10:40:19	00:10:42:20	那不是很好嗎
00:10:42:20	00:10:45:27	這時候了還在想畫圖
00:10:49:21	00:10:51:09	你要做什麼啦
00:10:51:09	00:10:55:10	媽 你看 像不像
00:11:02:21	00:11:05:03	我們阿祥真的很棒耶
00:11:05:03	00:11:07:26	畫得很像喔
00:11:07:26	00:11:10:16	很像吧
00:11:15:10	00:11:17:01	就是有這種母親
00:11:17:01	00:11:20:15	才會寵出這麼不成材的兒子
00:11:35:04	00:11:39:18	阿祥 你要是把畫圖的精神
00:11:39:18	00:11:41:20	拿一半在功課上
00:11:41:20	00:11:44:13	你連師專都考得上
00:11:46:11	00:11:50:25	媽 你這叫吹牛不用繳稅
00:11:50:25	00:11:54:05	要是說我補考能夠通過
00:11:54:05	00:11:56:18	你應該就要偷笑了
00:11:58:03	00:12:00:18	你真的是討皮痛
00:12:00:18	00:12:03:00	好啦 吃飯...
00:12:08:26	00:12:12:08	這就是我家的餅店
00:12:12:08	00:12:14:02	小小的餅店
00:12:14:02	00:12:17:08	樓下和樓上加起來才10幾坪
00:12:18:13	00:12:19:28	我們家有八個人
00:12:19:28	00:12:22:17	就擠在這裡面
00:12:22:17	00:12:24:14	白天要做生意
00:12:24:14	00:12:29:22	晚上爸爸還要趕夜工做餅
00:12:29:22	00:12:31:20	在我的印象裡
00:12:31:20	00:12:33:12	那是我們家
00:12:33:12	00:12:35:18	過得最苦的一段日子
00:12:52:16	00:12:54:00	很痛耶
00:13:11:02	00:13:13:11	他媽媽只會說
00:13:13:11	00:13:16:05	說我打孩子不知輕重
00:13:16:05	00:13:17:08	今天我如果不這樣
00:13:17:08	00:13:19:00	狠狠的教訓他一頓
00:13:19:00	00:13:21:20	永遠都不會清醒
00:13:27:00	00:13:31:00	從小他最懂事
00:13:31:00	00:13:32:18	那些弟弟妹妹
00:13:32:18	00:13:35:06	不管什麼事情都學他
00:13:35:06	00:13:40:06	他是大家的模範
00:13:40:06	00:13:41:15	想不到
00:13:41:15	00:13:44:16	他竟然給我搞出這種事
00:13:54:22	00:13:55:25	我們做父母的
00:13:55:25	00:13:59:20	辛辛苦苦是為了什麼
00:13:59:20	00:14:04:09	還不是指望孩子能夠好好讀書
00:14:04:09	00:14:06:09	將來有出息
00:14:06:09	00:14:10:18	才不會像我們這樣辛苦討生活
00:14:10:18	00:14:13:17	想不到他竟然跟我說
00:14:13:17	00:14:18:11	說他不稀罕那張畢業證書
00:14:18:11	00:14:22:01	你說 他對我說這種話
00:14:22:01	00:14:25:14	聽了我的心不會痛嗎
00:14:36:19	00:14:38:13	1961年
00:14:38:13	00:14:41:10	發生第三件大事
00:14:41:10	00:14:42:15	又是我
00:14:42:15	00:14:45:10	決定要把畫圖的興趣收起來
00:14:45:10	00:14:46:28	專心讀書
00:14:48:14	00:14:50:06	媽媽...
00:14:50:06	00:14:53:14	你看 漂不漂亮
00:14:53:14	00:14:56:04	很漂亮耶
00:14:56:04	00:14:59:06	不要啦...
00:15:02:04	00:15:03:20	阿祥 這麼厲害
00:15:03:20	00:15:07:03	畫得這麼漂亮
00:15:07:03	00:15:09:24	這是我們「第一市場」這裡...
00:15:14:11	00:15:16:09	阿祥畫得那麼漂亮
00:15:16:09	00:15:19:16	阿虎嫂 阿祥畫圖得獎了
00:15:19:16	00:15:20:09	真棒...
00:15:20:09	00:15:21:06	是第幾名啊
00:15:21:06	00:15:22:03	第一名
00:15:22:03	00:15:25:15	第一名 有夠厲害的啦
00:15:25:15	00:15:27:28	阿虎兄 你這個兒子真是厲害
00:15:37:04	00:15:41:06	雖然說 畫圖陪我走過最快樂
00:15:41:06	00:15:49:01	最臭屁 最光榮的日子
00:15:49:01	00:15:52:06	不過 為了父母
00:15:52:06	00:15:54:21	為了那張畢業證書
00:15:54:21	00:15:56:20	我只好暫時忘記
00:15:56:20	00:15:59:18	我小時候畫的那張世界名作
00:15:59:18	00:16:02:00	「快樂的斑馬」
00:16:26:18	00:16:27:29	我打中了
00:16:27:29	00:16:29:27	換我
00:16:35:25	00:16:39:29	出來 張金祥出來
00:16:39:29	00:16:41:21	張金祥你給我出來
00:16:41:21	00:16:42:13	我跟你說的話
00:16:42:13	00:16:43:22	你都沒在聽
00:16:43:22	00:16:45:19	叫你不要去 你還跑去
00:16:45:19	00:16:47:01	出來 我要修理你
00:16:47:01	00:16:48:23	聽到沒有 出來
00:16:53:26	00:16:56:09	我打中了
00:16:56:09	00:16:58:11	不好了 我爸回來了啦
00:16:58:11	00:17:00:08	三叔回來了
00:17:00:08	00:17:01:16	快跑啦
00:17:01:16	00:17:03:19	不行 等一下被三叔看到
00:17:03:19	00:17:05:13	彈珠會被他沒收
00:17:14:00	00:17:17:05	起來 我說的話沒在聽
00:17:19:11	00:17:20:26	我打到的彈珠都在這邊
00:17:20:26	00:17:22:02	都給你
00:17:22:02	00:17:23:06	我以後不會再玩了
00:17:23:06	00:17:25:24	我跟你說什麼 你都沒在聽
00:17:25:24	00:17:27:18	現在是怎麼樣啦
00:17:27:18	00:17:30:01	怎麼孩子喊到哭天搶地的
00:17:30:01	00:17:31:16	以後 還有以後
00:17:31:16	00:17:33:10	怎麼在打孩子啦
00:17:33:10	00:17:34:14	阿月啊
00:17:34:14	00:17:35:26	你看阿駝在打阿祥
00:17:35:26	00:17:38:03	還不去阻止他
00:17:38:20	00:17:40:17	三叔在替我教訓孩子
